accident_id,plateNo,accident_date,street,barangay,municipality,vehicle_type,severity,notes,latitude,longitude
ACC-2024-074,IUG-0042,2024-04-19T20:15:01.000Z,Main Road,Dapnan,Baganga,van,minor,Pedestrian involved; minor injuries reported,7.124795,126.237596
ACC-2024-075,MIT-6180,2024-06-25T20:07:09.000Z,Cabasagan Road,Manggas,Banaybanay,truck,severe,Animal on road caused sudden swerve,7.046328,126.278978
ACC-2024-076,TSV-6325,2024-09-14T18:01:41.000Z,Purok 4 (Lagoon),Poblacion,Governor Generoso,jeepney,moderate,Vehicle skidded on wet road,6.91372,126.201221
ACC-2024-077,WLN-7486,2024-01-06T23:02:59.000Z,Coastal Road,Matiao,Manay,van,minor,Brake failure suspected,7.020287,126.378262
ACC-2024-078,QKC-5383,2024-11-27T00:23:49.000Z,Purok 4 (Lagoon),Tag-anongan,Lupon,van,moderate,Multiple-vehicle pileup; heavy damage reported,7.080248,126.065608
ACC-2024-079,BQX-3727,2024-10-17T00:22:01.000Z,Pichon Road,Poblacion,Lupon,motorcycle,moderate,Side-swipe while overtaking,7.068622,126.070233
ACC-2024-080,SXB-0919,2024-04-23T22:23:09.000Z,Ramon Magsaysay Ave.,Madre De Dios,Baganga,truck,moderate,Vehicle skidded on wet road,7.104652,126.222723
ACC-2024-081,EPJ-3945,2024-07-12T06:35:41.000Z,Ramon Magsaysay Ave.,San Roque,Tarragona,bus,minor,Single-vehicle rollover; driver evacuated,6.908274,125.997574
ACC-2024-082,XRE-7237,2024-05-14T04:54:18.000Z,Brgy. San Isidro Road,Poblacion,Tarragona,bus,minor,Multiple-vehicle pileup; heavy damage reported,6.911419,125.99741
ACC-2024-083,WCJ-5881,2024-08-11T05:38:07.000Z,Barangay Road,Alvar,Caraga,truck,severe,Collision with roadside object (lamp post/fence),7.016316,126.119802
ACC-2024-084,ORT-0803,2024-12-19T15:33:54.000Z,Rizal St.,Manlayag,Governor Generoso,bus,moderate,Brake failure suspected,6.938249,126.216172
ACC-2024-085,QQR-2240,2024-08-31T23:41:48.000Z,Purok 1 (Poblacion),San Jose,Boston,motorcycle,severe,Driver suspected under influence,6.994365,125.982317
ACC-2024-086,TCH-6807,2024-03-09T05:05:02.000Z,Purok 5 (Kapit-Bisig),Mabungol,Mati,car,minor,Hit-and-run reported; suspect fled scene,6.977688,126.208551
ACC-2024-087,GVM-4835,2024-10-16T22:26:14.000Z,Ramon Magsaysay Ave.,Matiao,Manay,jeepney,minor,Side-swipe while overtaking,7.0091,126.373518
ACC-2024-088,JUA-8791,2024-02-17T23:55:49.000Z,Cabasagan Road,Sibajay,Boston,tricycle,minor,Animal on road caused sudden swerve,7.03234,125.970074
ACC-2024-089,RMQ-9198,2024-05-07T09:14:24.000Z,Coastal Road,Limao,Tarragona,bus,minor,Side-swipe while overtaking,6.908124,125.997856
ACC-2024-090,DBA-8071,2024-02-15T02:19:16.000Z,Main Road,Lamiawan,Caraga,motorcycle,minor,Hit-and-run reported; suspect fled scene,7.02314,126.097219
ACC-2024-091,TEK-1622,2024-11-19T18:34:57.000Z,Palma Gil St.,Tabunok,Tarragona,tricycle,moderate,Collision with roadside object (lamp post/fence),6.871963,125.992232
ACC-2024-092,WCR-8920,2024-12-16T04:25:04.000Z,Purok 1 (Poblacion),Guinsang-an,Lupon,van,minor,Multiple-vehicle pileup; heavy damage reported,7.039553,126.086092
ACC-2024-093,FQZ-0828,2024-11-01T13:27:25.000Z,Rizal Extension,Poblacion,Lupon,truck,minor,Vehicle skidded on wet road,7.070219,126.040312
ACC-2024-094,FWI-2417,2024-11-02T06:41:33.000Z,Palma Gil St.,Dahican,Manay,bus,minor,Brake failure suspected,7.040042,126.428252
ACC-2024-095,CWD-5869,2024-11-02T19:11:26.000Z,Ramon Magsaysay Ave.,Matiao,Manay,jeepney,minor,Tricycle struck by oncoming vehicle,6.981947,126.384922
ACC-2024-096,CBL-5931,2024-07-18T07:43:28.000Z,San Jose St.,Manggas,Banaybanay,bus,minor,Hit-and-run reported; suspect fled scene,7.045293,126.292906
ACC-2024-097,QAZ-6580,2024-06-14T13:09:29.000Z,Brgy. San Isidro Road,Limao,Tarragona,van,minor,Animal on road caused sudden swerve,6.924582,125.974409
ACC-2024-098,DDQ-9590,2024-07-31T23:03:08.000Z,Pichon Road,Dapnan,Baganga,van,minor,Pedestrian involved; minor injuries reported,7.121833,126.225223
ACC-2024-099,UCR-9033,2024-10-06T22:42:53.000Z,Coastal Road,Buanas,San Isidro,jeepney,minor,Single-vehicle rollover; driver evacuated,7.043285,126.144829
ACC-2024-100,SII-4176,2024-05-25T08:44:18.000Z,Main Road,Guinsang-an,Lupon,car,moderate,Single-vehicle rollover; driver evacuated,7.027028,126.077906
